date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-03-2024,Ladakh,4,0,81
01-04-2021,DNH and DD,2,1,657
01-04-2021,Himachal Pradesh,4,1,3544
01-04-2021,Meghalaya,4,1,930
01-05-2021,Chandigarh,4,1,413
01-05-2021,Haryana,4,1,4373
01-05-2021,Himachal Pradesh,4,1,1503
01-05-2021,Jharkhand,4,1,2290
01-05-2021,Madhya Pradesh,2,1,6302
01-05-2021,Meghalaya,4,1,88
01-06-2021,Assam,4,1,3842
01-06-2021,DNH and DD,4,1,234
01-06-2021,Himachal Pradesh,4,1,3193
01-06-2021,Jammu and Kashmir,4,1,4469
01-06-2021,Tripura,2,1,1523
01-07-2021,Jammu and Kashmir,4,1,5336
01-07-2021,Meghalaya,4,1,759
01-08-2021,Andaman & Nicobar Island,4,1,110
01-08-2021,Puducherry,4,1,837
01-09-2021,DNH and DD,2,1,666
01-09-2021,Himachal Pradesh,4,1,3379
01-09-2021,Jammu and Kashmir,4,1,3773
01-09-2021,Nagaland,2,1,578
01-10-2021,Andaman & Nicobar Island,4,1,70
01-10-2021,DNH and DD,2,1,628
01-10-2021,DNH and DD,4,1,333
01-10-2021,Himachal Pradesh,4,1,3201
01-11-2021,DNH and DD,2,1,938
01-11-2021,Puducherry,4,1,532
01-12-2021,Andaman & Nicobar Island,4,1,122
01-12-2021,DNH and DD,4,1,336
01-12-2021,Himachal Pradesh,4,1,4105
01-12-2021,Tripura,2,1,3579
01-02-2022,DNH and DD,4,1,354
01-02-2022,Meghalaya,4,1,917
01-03-2022,DNH and DD,4,1,355
01-04-2022,Andaman & Nicobar Island,4,1,147
01-04-2022,DNH and DD,4,1,431
01-04-2022,Manipur,2,1,1246
01-04-2022,Manipur,4,1,813
01-04-2022,Meghalaya,4,1,860
01-05-2022,DNH and DD,4,1,374
01-05-2022,Mizoram,2,1,1638
01-05-2022,Nagaland,2,1,514
01-06-2022,DNH and DD,2,1,767
01-06-2022,Meghalaya,4,1,1087
01-07-2022,Arunachal Pradesh,4,1,947
01-07-2022,Ladakh,4,1,285
01-07-2022,Mizoram,2,1,1427
01-08-2022,DNH and DD,4,1,303
01-09-2022,DNH and DD,4,1,390
01-09-2022,Manipur,2,1,2473
01-09-2022,Meghalaya,2,1,1719
01-10-2022,Meghalaya,4,1,1188
01-11-2022,Andaman & Nicobar Island,4,1,159
01-12-2022,Arunachal Pradesh,2,1,925
01-12-2022,Meghalaya,2,1,1180
01-12-2022,Punjab,4,1,13085
01-01-2023,DNH and DD,4,1,360
01-01-2023,Ladakh,2,1,20
01-01-2023,Meghalaya,4,1,1271
01-03-2023,Andaman & Nicobar Island,2,1,373
01-03-2023,Andaman & Nicobar Island,4,1,162
01-03-2023,Meghalaya,2,1,1907
01-04-2023,Andaman & Nicobar Island,4,1,122
01-04-2023,Arunachal Pradesh,4,1,892
01-04-2023,DNH and DD,4,1,407
01-04-2023,Nagaland,4,1,687
01-04-2023,Tripura,4,1,299
01-05-2023,Arunachal Pradesh,2,1,1193
01-06-2023,Andaman & Nicobar Island,4,1,136
01-06-2023,DNH and DD,4,1,370
01-06-2023,Meghalaya,2,1,1969
01-07-2023,Ladakh,2,1,117
01-07-2023,Nagaland,2,1,599
01-07-2023,Nagaland,4,1,739
01-08-2023,DNH and DD,4,1,357
01-09-2023,Andaman & Nicobar Island,4,1,148
01-09-2023,Nagaland,2,1,531
01-10-2023,Andaman & Nicobar Island,2,1,404
01-10-2023,Andaman & Nicobar Island,4,1,191
01-10-2023,Meghalaya,2,1,1776
01-10-2023,Meghalaya,4,1,1354
01-11-2023,Andaman & Nicobar Island,4,1,170
01-11-2023,Nagaland,2,1,634
01-11-2023,Nagaland,4,1,860
01-12-2023,Meghalaya,2,1,1518
01-12-2023,Meghalaya,4,1,1060
01-01-2024,Mizoram,4,1,513
01-01-2024,Meghalaya,4,1,1429
01-02-2024,Andaman & Nicobar Island,4,1,181
01-02-2024,Nagaland,4,1,822
01-03-2024,Andaman & Nicobar Island,4,1,158
01-03-2024,Arunachal Pradesh,4,1,1081
01-04-2021,Andaman & Nicobar Island,4,9,168
01-04-2021,Andhra Pradesh,4,26,7837
01-04-2021,Bihar,4,4,5731
01-04-2021,Chandigarh,4,2,1426
01-04-2021,Delhi,4,61,8076
01-04-2021,Goa,4,8,1442
01-04-2021,Gujarat,4,44,17386
01-04-2021,Haryana,4,3,15476
01-04-2021,Jharkhand,4,3,3425
01-04-2021,Karnataka,4,90,16864
01-04-2021,Kerala,4,132,23660
01-04-2021,Madhya Pradesh,4,2,5356
01-04-2021,Maharashtra,4,96,16829
01-04-2021,Odisha,4,5,5101
01-04-2021,Punjab,4,4,8955
01-04-2021,Rajasthan,4,22,10647
01-04-2021,Tamil Nadu,4,75,18826
01-04-2021,Uttar Pradesh,4,4,23056
01-04-2021,Uttarakhand,4,10,2728
01-04-2021,West Bengal,4,24,7640
01-05-2021,Andhra Pradesh,4,16,5831
01-05-2021,Goa,4,4,393
01-05-2021,Gujarat,4,29,15959
01-05-2021,Karnataka,4,2,646
01-05-2021,Kerala,4,48,5164
01-05-2021,Maharashtra,4,121,13528
01-05-2021,Puducherry,4,2,119
01-05-2021,Rajasthan,4,7,2756
01-05-2021,Tamil Nadu,4,14,3413
01-05-2021,Uttar Pradesh,4,3,14016
